id;login;password_hash;first_name;second_name;last_name;email;image_url;activated;lang_key;created_by;last_modified_by
1;system;$2a$10$mE.qmcV0mFU5NcKh73TZx.z4ueI/.bDWbj0T1BYyqP481kGGarKLG;System;Leszek;System;system@localhost;;true;en;system;system
2;anonymoususer;$2a$10$j8S5d7Sr7.8VTOYNviDPOeWX8KcYILUVJBsYV83Y5NtECayypx9lO;Anonymous;;User;anonymous@localhost;;true;en;system;system
3;admin;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;Administrator;;Administrator;admin@localhost;;true;en;system;system
4;user;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;User;;User;user@localhost;;true;en;system;system
11;lecturer1;$2y$12$76EvVzs2UtfIZCBg4qVs8.tsi1ZPUdaSbPFJXeMI1LA9Bgna6CCeK;Anna;;Kujawiak;lecturer1@localhost;;true;en;system;system
12;lecturer2;$2y$12$76EvVzs2UtfIZCBg4qVs8.tsi1ZPUdaSbPFJXeMI1LA9Bgna6CCeK;Marian;;Kraś;lecturer2@localhost;;true;en;system;system
13;lecturer3;$2y$12$76EvVzs2UtfIZCBg4qVs8.tsi1ZPUdaSbPFJXeMI1LA9Bgna6CCeK;Zygfryd;;Oberek;lecturer3@localhost;;true;en;system;system
14;lecturer4;$2y$12$76EvVzs2UtfIZCBg4qVs8.tsi1ZPUdaSbPFJXeMI1LA9Bgna6CCeK;Antoni;Tomasz;Comasz;lecturer4@localhost;;true;en;system;system
15;lecturer5;$2y$12$76EvVzs2UtfIZCBg4qVs8.tsi1ZPUdaSbPFJXeMI1LA9Bgna6CCeK;Stanisław;;Stanisławski;lecturer5@localhost;;true;en;system;system
16;lecturer6;$2y$12$76EvVzs2UtfIZCBg4qVs8.tsi1ZPUdaSbPFJXeMI1LA9Bgna6CCeK;Jan;;Komuzykant;lecturer6@localhost;;true;en;system;system
17;lecturer7;$2y$12$76EvVzs2UtfIZCBg4qVs8.tsi1ZPUdaSbPFJXeMI1LA9Bgna6CCeK;Konstancjusz;;Abacki;lecturer7@localhost;;true;en;system;system
18;lecturer8;$2y$12$76EvVzs2UtfIZCBg4qVs8.tsi1ZPUdaSbPFJXeMI1LA9Bgna6CCeK;Andrzej;Tomasz;Rabacki;lecturer8@localhost;;true;en;system;system
19;lecturer9;$2y$12$76EvVzs2UtfIZCBg4qVs8.tsi1ZPUdaSbPFJXeMI1LA9Bgna6CCeK;Maciej;;Kabacki;lecturer9@localhost;;true;en;system;system
20;lecturer10;$2y$12$76EvVzs2UtfIZCBg4qVs8.tsi1ZPUdaSbPFJXeMI1LA9Bgna6CCeK;Tomisław;Apoloniusz;Curuś-Bachleda;lecturer10@localhost;;true;en;system;system
101;student1;$2y$12$76EvVzs2UtfIZCBg4qVs8.tsi1ZPUdaSbPFJXeMI1LA9Bgna6CCeK;Jan;Paweł;Abacki;user1@localhost;;true;en;system;system
102;student2;$2y$12$76EvVzs2UtfIZCBg4qVs8.tsi1ZPUdaSbPFJXeMI1LA9Bgna6CCeK;Adam;;Adamski;user2@localhost;;true;en;system;system
103;student3;$2y$12$76EvVzs2UtfIZCBg4qVs8.tsi1ZPUdaSbPFJXeMI1LA9Bgna6CCeK;Tomasz;Adam;Tomaszewski;238379@student.pwr.edu.pl;;true;en;system;system
104;student4;$2y$12$76EvVzs2UtfIZCBg4qVs8.tsi1ZPUdaSbPFJXeMI1LA9Bgna6CCeK;Paweł;Jan;Kowal;user4@localhost;;true;en;system;system
105;student5;$2y$12$76EvVzs2UtfIZCBg4qVs8.tsi1ZPUdaSbPFJXeMI1LA9Bgna6CCeK;Gerwazy;;Pawłowski;user5localhost;;true;en;system;system
106;student6;$2y$12$76EvVzs2UtfIZCBg4qVs8.tsi1ZPUdaSbPFJXeMI1LA9Bgna6CCeK;Erwin;;Adamski;user6@localhost;;true;en;system;system
107;student7;$2y$12$76EvVzs2UtfIZCBg4qVs8.tsi1ZPUdaSbPFJXeMI1LA9Bgna6CCeK;Grzymisław;Paweł;Abacki;user7@localhost;;true;en;system;system
108;student8;$2y$12$76EvVzs2UtfIZCBg4qVs8.tsi1ZPUdaSbPFJXeMI1LA9Bgna6CCeK;Żegota;;Kowalski;user8@localhost;;true;en;system;system
109;student9;$2y$12$76EvVzs2UtfIZCBg4qVs8.tsi1ZPUdaSbPFJXeMI1LA9Bgna6CCeK;Janusz;;Januszewski;user9@localhost;;true;en;system;system
110;student10;$2y$12$76EvVzs2UtfIZCBg4qVs8.tsi1ZPUdaSbPFJXeMI1LA9Bgna6CCeK;Adrian;;Adamski;user10@localhost;;true;en;system;system
